;Investkosten;Ersparnisse Prosumer;Ersparnisse Consumer;Förderkosten;Eigenverbrauch;Erzeugung;Netzbezug;Netzeinspeisung;Verbrauch
0;;;;;;;;;
1;369489,2352000009;21084,565782549707;1964,8835454505934;110846,77056000028;36661,02822500002;230930,7720000008;321209,9360999992;135073,1826000001;417067,52550000045
2;1034012,435248867;38181,994609350644;13285,5812066561;310203,7305746601;113973,41765201134;646257,7720305432;257445,13204600455;486635,3785765476;417067,52550000045
3;1698535,6352977357;53205,91567843247;21331,479711421627;509560,6905893207;137143,15388416726;1061584,772061086;238249,55227667032;882766,7988377566;417067,52550000045
4;2363058,835346602;67538,91916703689;28909,718990627673;708917,6506039805;150561,25962260927;1476911,7720916239;228708,77922430614;1288553,025815933;417067,52550000045
5;3027582,0353954723;81567,7066551232;36334,256762499754;908274,6106186417;159802,2209802787;1892238,7721221694;222983,98540404596;1698155,232026215;417067,52550000045
6;3692105,23544432;95439,77871880878;43691,04172819986;1107631,570633296;166704,49839145335;2307565,772152701;219129,76017188706;2109628,0068245935;417067,52550000045
7;4356628,435493198;109220,54589739087;51016,10487289148;1306988,5306479593;172013,820276037;2722892,7721832525;216300,7574906662;2522126,00417392;417067,52550000045
8;5021151,635542055;122937,84206550448;58324,01859105223;1506345,4906626164;176169,6368296435;3138219,7722137813;214143,59178444007;2935295,8384982287;417067,52550000045
9;5685674,835590941;136612,12326270703;65621,02010063248;1705702,4506772822;179562,01689119384;3553546,7722443403;212435,81924064818;3348915,065984981;417067,52550000045
10;6350198,035639817;150252,19570277896;72911,10305446947;1905059,4106919449;182391,90028900007;3968873,772274882;211070,77430412412;3762877,0210789945;417067,52550000045
11;7014721,235688643;163871,7566750764;80196,87173187049;2104416,3707065927;184788,20731885626;4384200,772305402;209912,61056936232;4177045,8573747827;417067,52550000045
